Time,Bus Voltage,Shunt Voltage,Load Voltage,Current,Power
2024-07-19 22:58:55,0.96,153.61,1.11,1536.10,1474.00
2024-07-19 22:58:55,0.96,153.44,1.11,1535.80,1482.00
2024-07-19 22:58:55,0.96,153.53,1.12,1536.50,1474.00
2024-07-19 22:58:55,0.96,153.58,1.11,1535.80,1474.00
2024-07-19 22:58:55,0.96,153.56,1.11,1535.00,1474.00
2024-07-19 22:58:55,0.96,153.49,1.11,1536.70,1474.00
2024-07-19 22:58:55,0.96,153.41,1.11,1536.10,1482.00
2024-07-19 22:58:55,0.96,153.64,1.12,1537.50,1474.00
2024-07-19 22:58:55,0.96,153.35,1.11,1533.50,1472.00
2024-07-19 22:58:55,0.96,153.35,1.11,1536.50,1474.00
2024-07-19 22:58:56,0.96,153.33,1.11,1535.70,1474.00
2024-07-19 22:58:56,0.96,153.37,1.11,1534.30,1478.00
2024-07-19 22:58:56,0.96,153.38,1.11,1536.10,1474.00
2024-07-19 22:58:56,0.96,153.35,1.11,1536.70,1474.00
2024-07-19 22:58:56,0.96,153.38,1.12,1536.90,1474.00
2024-07-19 22:58:56,0.96,153.34,1.11,1535.50,1468.00
2024-07-19 22:58:56,0.96,153.37,1.11,1534.70,1474.00
2024-07-19 22:58:56,0.96,153.40,1.11,1536.40,1474.00
2024-07-19 22:58:56,0.96,153.36,1.11,1536.10,1472.00
2024-07-19 22:58:56,0.96,153.37,1.11,1537.60,1472.00
2024-07-19 22:58:56,0.96,153.39,1.11,1534.90,1474.00
2024-07-19 22:58:56,0.96,153.38,1.11,1535.50,1482.00
2024-07-19 22:58:56,0.96,153.39,1.11,1535.70,1474.00
2024-07-19 22:58:56,0.96,153.55,1.11,1535.20,1474.00
2024-07-19 22:58:56,0.96,153.55,1.11,1533.40,1472.00
2024-07-19 22:58:57,0.96,153.58,1.12,1534.50,1474.00
2024-07-19 22:58:57,0.96,153.58,1.12,1534.10,1478.00
2024-07-19 22:58:57,0.96,153.52,1.11,1534.70,1482.00
2024-07-19 22:58:57,0.96,153.56,1.12,1535.00,1474.00
2024-07-19 22:58:57,0.96,153.52,1.12,1535.60,1472.00
2024-07-19 22:58:57,0.96,153.50,1.11,1536.40,1474.00
2024-07-19 22:58:57,0.96,153.37,1.12,1534.80,1474.00
2024-07-19 22:58:57,0.96,153.34,1.11,1533.80,1472.00
2024-07-19 22:58:57,0.96,153.36,1.11,1535.90,1474.00
2024-07-19 22:58:57,0.96,153.38,1.11,1535.60,1474.00
2024-07-19 22:58:57,0.96,153.37,1.11,1535.00,1474.00
2024-07-19 22:58:57,0.96,153.35,1.11,1533.70,1472.00
2024-07-19 22:58:57,0.96,153.37,1.11,1534.70,1468.00
2024-07-19 22:58:57,0.96,153.37,1.12,1534.80,1474.00
2024-07-19 22:58:57,0.96,153.37,1.12,1536.90,1474.00
2024-07-19 22:58:57,0.96,153.38,1.11,1534.10,1472.00
2024-07-19 22:58:58,0.96,153.39,1.12,1536.40,1474.00
2024-07-19 22:58:58,0.96,153.38,1.11,1535.70,1468.00
2024-07-19 22:58:58,0.96,153.39,1.11,1536.30,1474.00
2024-07-19 22:58:58,0.96,153.37,1.12,1535.00,1474.00
2024-07-19 22:58:58,0.96,153.34,1.11,1535.40,1474.00
2024-07-19 22:58:58,0.96,153.37,1.11,1536.00,1474.00
2024-07-19 22:58:58,0.96,153.38,1.11,1537.60,1474.00
2024-07-19 22:58:58,0.96,153.36,1.11,1535.30,1474.00
2024-07-19 22:58:58,0.96,153.34,1.12,1535.80,1474.00
2024-07-19 22:58:58,0.96,153.40,1.12,1534.90,1474.00
2024-07-19 22:58:58,0.96,153.37,1.11,1536.00,1474.00
2024-07-19 22:58:58,0.96,153.37,1.11,1536.20,1474.00
2024-07-19 22:58:58,0.96,153.35,1.12,1534.70,1474.00
2024-07-19 22:58:58,0.96,153.36,1.11,1537.00,1472.00
2024-07-19 22:58:58,0.96,153.41,1.12,1535.90,1474.00
2024-07-19 22:58:59,0.96,153.59,1.11,1534.10,1474.00
2024-07-19 22:58:59,0.96,153.41,1.11,1536.20,1474.00
2024-07-19 22:58:59,0.96,153.57,1.11,1535.30,1474.00
2024-07-19 22:58:59,0.96,153.38,1.11,1536.20,1474.00
2024-07-19 22:58:59,0.96,153.39,1.11,1536.10,1474.00
2024-07-19 22:58:59,0.96,153.40,1.11,1535.00,1468.00
2024-07-19 22:58:59,0.96,153.37,1.11,1535.90,1468.00
2024-07-19 22:58:59,0.96,153.37,1.11,1535.00,1468.00
2024-07-19 22:58:59,0.96,153.38,1.11,1535.60,1474.00
2024-07-19 22:58:59,0.96,153.37,1.11,1536.00,1474.00
2024-07-19 22:58:59,0.96,153.52,1.11,1535.90,1474.00
2024-07-19 22:58:59,0.96,153.55,1.12,1533.30,1472.00
2024-07-19 22:58:59,0.96,153.58,1.12,1536.20,1474.00
2024-07-19 22:58:59,0.96,153.47,1.11,1534.90,1482.00
2024-07-19 22:58:59,0.96,153.68,1.12,1535.80,1482.00
2024-07-19 22:59:00,0.96,153.33,1.11,1535.80,1482.00
2024-07-19 22:59:00,0.96,153.33,1.11,1535.50,1474.00
2024-07-19 22:59:00,0.96,153.35,1.11,1536.90,1482.00
2024-07-19 22:59:00,0.96,153.38,1.11,1534.90,1474.00
2024-07-19 22:59:00,0.96,153.39,1.12,1536.40,1474.00
2024-07-19 22:59:00,0.96,153.38,1.11,1536.40,1474.00
2024-07-19 22:59:00,0.96,153.38,1.12,1534.10,1472.00
2024-07-19 22:59:00,0.96,153.37,1.11,1535.40,1474.00
2024-07-19 22:59:00,0.96,153.39,1.11,1536.70,1474.00
2024-07-19 22:59:00,0.96,153.40,1.11,1536.70,1474.00
2024-07-19 22:59:00,0.96,153.39,1.11,1535.30,1474.00
2024-07-19 22:59:00,0.96,153.38,1.11,1533.50,1472.00
2024-07-19 22:59:00,0.96,153.38,1.11,1533.40,1472.00
2024-07-19 22:59:00,0.96,153.35,1.11,1535.60,1474.00
2024-07-19 22:59:00,0.96,153.40,1.11,1536.90,1474.00
2024-07-19 22:59:00,0.96,153.37,1.11,1536.40,1478.00
2024-07-19 22:59:01,0.96,153.34,1.11,1534.30,1474.00
2024-07-19 22:59:01,0.96,153.39,1.11,1535.90,1474.00
2024-07-19 22:59:01,0.96,153.57,1.11,1534.40,1478.00
2024-07-19 22:59:01,0.96,153.54,1.12,1534.80,1478.00
2024-07-19 22:59:01,0.96,153.43,1.11,1535.60,1482.00
2024-07-19 22:59:01,0.96,153.64,1.12,1534.60,1482.00
2024-07-19 22:59:01,0.96,153.38,1.12,1534.20,1478.00
2024-07-19 22:59:01,0.96,153.35,1.11,1536.20,1474.00
2024-07-19 22:59:01,0.96,153.35,1.11,1537.20,1474.00
2024-07-19 22:59:01,0.96,153.37,1.11,1534.00,1478.00
2024-07-19 22:59:01,0.96,153.35,1.11,1535.80,1482.00
2024-07-19 22:59:01,0.96,153.38,1.11,1534.20,1472.00
2024-07-19 22:59:01,0.96,153.37,1.11,1535.30,1474.00
2024-07-19 22:59:01,0.96,153.37,1.11,1535.50,1472.00
2024-07-19 22:59:01,0.96,153.35,1.11,1536.70,1474.00
2024-07-19 22:59:02,0.96,153.36,1.11,1536.10,1474.00
2024-07-19 22:59:02,0.96,153.50,1.11,1534.00,1472.00
2024-07-19 22:59:02,0.96,153.59,1.11,1534.10,1474.00
2024-07-19 22:59:02,0.96,153.58,1.12,1535.90,1474.00
2024-07-19 22:59:02,0.96,153.53,1.11,1535.60,1474.00
2024-07-19 22:59:02,0.96,153.52,1.11,1536.30,1474.00
2024-07-19 22:59:02,0.96,153.56,1.11,1535.80,1474.00
2024-07-19 22:59:02,0.96,153.36,1.11,1535.20,1474.00
2024-07-19 22:59:02,0.96,153.36,1.11,1536.00,1482.00
2024-07-19 22:59:02,0.96,153.38,1.11,1535.20,1474.00
2024-07-19 22:59:02,0.96,153.35,1.11,1534.60,1474.00
2024-07-19 22:59:02,0.96,153.40,1.11,1535.80,1482.00
2024-07-19 22:59:02,0.96,153.39,1.11,1535.70,1474.00
2024-07-19 22:59:02,0.96,153.38,1.11,1534.80,1474.00
2024-07-19 22:59:02,0.96,153.36,1.11,1534.20,1472.00
2024-07-19 22:59:03,0.96,153.37,1.11,1536.10,1474.00
2024-07-19 22:59:03,0.96,153.35,1.11,1536.80,1472.00
2024-07-19 22:59:03,0.96,153.37,1.11,1534.90,1474.00
2024-07-19 22:59:03,0.96,153.34,1.12,1536.70,1474.00
2024-07-19 22:59:03,0.96,153.54,1.12,1534.80,1474.00
2024-07-19 22:59:03,0.96,153.53,1.11,1534.00,1482.00
2024-07-19 22:59:03,0.96,153.57,1.11,1535.30,1474.00
2024-07-19 22:59:03,0.96,153.59,1.11,1535.30,1474.00
2024-07-19 22:59:03,0.96,153.56,1.12,1536.00,1474.00
2024-07-19 22:59:03,0.96,153.34,1.11,1535.40,1468.00
2024-07-19 22:59:03,0.96,153.35,1.11,1535.60,1474.00
2024-07-19 22:59:03,0.96,153.33,1.11,1536.60,1474.00
2024-07-19 22:59:03,0.96,153.39,1.11,1535.40,1474.00
2024-07-19 22:59:03,0.96,153.35,1.12,1536.40,1474.00
2024-07-19 22:59:03,0.96,153.37,1.12,1533.20,1472.00
2024-07-19 22:59:03,0.96,153.37,1.12,1534.00,1472.00
2024-07-19 22:59:04,0.96,153.37,1.11,1534.40,1474.00
2024-07-19 22:59:04,0.96,153.34,1.12,1533.20,1478.00
2024-07-19 22:59:04,0.96,153.37,1.11,1534.60,1478.00
2024-07-19 22:59:04,0.96,153.37,1.11,1534.60,1478.00
2024-07-19 22:59:04,0.96,153.35,1.11,1533.40,1472.00
2024-07-19 22:59:04,0.96,153.37,1.11,1535.30,1474.00
2024-07-19 22:59:04,0.96,153.34,1.12,1535.60,1474.00
2024-07-19 22:59:04,0.96,153.37,1.11,1536.70,1474.00
2024-07-19 22:59:04,0.96,153.36,1.11,1534.70,1474.00
2024-07-19 22:59:04,0.96,153.39,1.11,1535.70,1468.00
2024-07-19 22:59:04,0.96,153.35,1.11,1534.80,1468.00
2024-07-19 22:59:04,0.96,153.37,1.12,1534.80,1474.00
2024-07-19 22:59:04,0.96,153.33,1.12,1535.50,1468.00
2024-07-19 22:59:04,0.96,153.37,1.12,1535.30,1474.00
2024-07-19 22:59:04,0.96,153.37,1.12,1535.80,1474.00
2024-07-19 22:59:05,0.96,153.36,1.11,1534.30,1474.00
2024-07-19 22:59:05,0.96,153.39,1.11,1536.80,1474.00
2024-07-19 22:59:05,0.96,153.38,1.11,1535.80,1474.00
2024-07-19 22:59:05,0.96,153.38,1.11,1536.30,1474.00
2024-07-19 22:59:05,0.96,153.38,1.11,1536.40,1474.00
2024-07-19 22:59:05,0.96,153.36,1.12,1533.30,1464.00
2024-07-19 22:59:05,0.96,153.37,1.11,1535.70,1474.00
2024-07-19 22:59:05,0.96,153.37,1.11,1535.40,1474.00
2024-07-19 22:59:05,0.96,153.36,1.11,1536.70,1474.00
2024-07-19 22:59:05,0.96,153.34,1.11,1536.70,1474.00
2024-07-19 22:59:05,0.96,153.36,1.12,1535.00,1482.00
2024-07-19 22:59:05,0.96,153.35,1.11,1535.80,1482.00
2024-07-19 22:59:05,0.96,153.36,1.11,1537.30,1474.00
2024-07-19 22:59:05,0.96,153.36,1.11,1535.00,1474.00
2024-07-19 22:59:05,0.96,153.35,1.12,1534.80,1474.00
2024-07-19 22:59:06,0.96,153.62,1.11,1534.60,1474.00
2024-07-19 22:59:06,0.96,153.61,1.11,1535.60,1474.00
2024-07-19 22:59:06,0.96,153.47,1.12,1535.20,1474.00
2024-07-19 22:59:06,0.96,153.52,1.11,1535.00,1474.00
2024-07-19 22:59:06,0.96,153.59,1.11,1535.70,1482.00
2024-07-19 22:59:06,0.96,153.60,1.11,1534.60,1474.00
2024-07-19 22:59:06,0.96,153.43,1.12,1535.70,1474.00
2024-07-19 22:59:06,0.96,153.44,1.11,1535.50,1474.00
2024-07-19 22:59:06,0.96,153.57,1.11,1535.50,1474.00
2024-07-19 22:59:06,0.96,153.47,1.11,1535.80,1474.00
2024-07-19 22:59:06,0.96,153.56,1.12,1535.60,1474.00
2024-07-19 22:59:06,0.96,153.59,1.11,1535.60,1474.00
2024-07-19 22:59:06,0.96,153.56,1.11,1537.00,1474.00
2024-07-19 22:59:06,0.96,153.61,1.11,1535.50,1474.00
2024-07-19 22:59:06,0.96,153.45,1.11,1534.90,1474.00
2024-07-19 22:59:06,0.96,153.57,1.11,1535.90,1468.00
2024-07-19 22:59:07,0.96,153.59,1.11,1535.20,1474.00
2024-07-19 22:59:07,0.96,153.58,1.11,1534.10,1474.00
2024-07-19 22:59:07,0.96,153.45,1.11,1533.50,1472.00
2024-07-19 22:59:07,0.96,153.54,1.12,1534.50,1474.00
2024-07-19 22:59:07,0.96,153.59,1.11,1535.50,1464.00
2024-07-19 22:59:07,0.96,153.48,1.11,1535.60,1474.00
2024-07-19 22:59:07,0.96,153.49,1.11,1536.00,1474.00
2024-07-19 22:59:07,0.96,153.52,1.11,1534.10,1474.00
2024-07-19 22:59:07,0.96,153.53,1.11,1534.10,1478.00
2024-07-19 22:59:07,0.96,153.53,1.12,1536.00,1474.00
2024-07-19 22:59:07,0.96,153.53,1.11,1534.10,1474.00
2024-07-19 22:59:07,0.96,153.58,1.11,1537.60,1482.00
2024-07-19 22:59:07,0.96,153.58,1.11,1535.80,1474.00
2024-07-19 22:59:07,0.96,153.58,1.11,1536.20,1474.00
2024-07-19 22:59:07,0.96,153.56,1.11,1534.80,1474.00
2024-07-19 22:59:08,0.96,153.56,1.11,1536.80,1474.00
2024-07-19 22:59:08,0.96,153.53,1.11,1536.10,1482.00
2024-07-19 22:59:08,0.96,153.55,1.12,1536.30,1482.00
2024-07-19 22:59:08,0.96,153.52,1.11,1536.90,1482.00
2024-07-19 22:59:08,0.96,153.55,1.11,1536.30,1472.00
2024-07-19 22:59:08,0.96,153.56,1.12,1534.50,1472.00
2024-07-19 22:59:08,0.96,153.38,1.11,1537.20,1474.00
2024-07-19 22:59:08,0.96,153.34,1.11,1536.20,1474.00
2024-07-19 22:59:08,0.96,153.37,1.11,1536.50,1472.00
2024-07-19 22:59:08,0.96,153.37,1.12,1536.20,1474.00
2024-07-19 22:59:08,0.96,153.39,1.12,1536.90,1472.00
2024-07-19 22:59:08,0.96,153.38,1.12,1537.20,1472.00
2024-07-19 22:59:08,0.96,153.36,1.11,1536.40,1472.00
2024-07-19 22:59:08,0.96,153.40,1.11,1535.90,1472.00
2024-07-19 22:59:08,0.96,153.39,1.12,1534.70,1474.00
2024-07-19 22:59:09,0.96,153.38,1.11,1534.40,1468.00
2024-07-19 22:59:09,0.96,153.37,1.11,1536.20,1474.00
2024-07-19 22:59:09,0.96,153.38,1.11,1537.10,1474.00
2024-07-19 22:59:09,0.96,153.38,1.11,1534.30,1474.00
2024-07-19 22:59:09,0.96,153.38,1.11,1534.30,1474.00
2024-07-19 22:59:09,0.96,153.56,1.11,1536.70,1474.00
2024-07-19 22:59:09,0.96,153.59,1.11,1534.50,1474.00
2024-07-19 22:59:09,0.96,153.60,1.11,1535.90,1474.00
2024-07-19 22:59:09,0.96,153.61,1.11,1538.20,1474.00
2024-07-19 22:59:09,0.96,153.36,1.11,1536.90,1474.00
2024-07-19 22:59:09,0.96,153.39,1.11,1536.10,1468.00
2024-07-19 22:59:09,0.96,153.37,1.12,1534.50,1474.00
2024-07-19 22:59:09,0.96,153.38,1.11,1535.30,1474.00
2024-07-19 22:59:09,0.96,153.38,1.11,1536.10,1482.00
2024-07-19 22:59:09,0.96,153.39,1.11,1534.90,1474.00
2024-07-19 22:59:09,0.96,153.37,1.12,1535.10,1474.00
2024-07-19 22:59:10,0.96,153.37,1.12,1536.00,1474.00
2024-07-19 22:59:10,0.96,153.35,1.11,1536.70,1482.00
2024-07-19 22:59:10,0.96,153.34,1.12,1536.90,1474.00
2024-07-19 22:59:10,0.96,153.37,1.11,1536.00,1474.00
2024-07-19 22:59:10,0.96,153.39,1.11,1534.10,1472.00
2024-07-19 22:59:10,0.96,153.38,1.11,1535.60,1474.00
2024-07-19 22:59:10,0.96,153.36,1.12,1533.80,1478.00
2024-07-19 22:59:10,0.96,153.38,1.12,1534.50,1478.00
2024-07-19 22:59:10,0.96,153.34,1.12,1535.60,1482.00
2024-07-19 22:59:10,0.96,153.39,1.12,1534.60,1478.00
2024-07-19 22:59:10,0.96,153.35,1.11,1534.70,1474.00
2024-07-19 22:59:10,0.96,153.38,1.11,1535.40,1474.00
2024-07-19 22:59:10,0.96,153.38,1.11,1534.70,1474.00
2024-07-19 22:59:10,0.96,153.38,1.11,1534.70,1474.00
2024-07-19 22:59:10,0.96,153.35,1.11,1535.50,1482.00
2024-07-19 22:59:11,0.96,153.36,1.11,1535.80,1482.00
2024-07-19 22:59:11,0.96,153.37,1.11,1534.50,1474.00
2024-07-19 22:59:11,0.96,153.38,1.11,1535.50,1474.00
2024-07-19 22:59:11,0.96,153.40,1.11,1535.30,1474.00
2024-07-19 22:59:11,0.96,153.35,1.11,1534.60,1478.00
2024-07-19 22:59:11,0.96,153.37,1.11,1535.80,1474.00
2024-07-19 22:59:11,0.96,153.38,1.11,1535.60,1474.00
2024-07-19 22:59:11,0.96,153.38,1.11,1535.20,1468.00
2024-07-19 22:59:11,0.96,153.35,1.12,1535.40,1474.00
2024-07-19 22:59:11,0.96,153.38,1.11,1536.20,1474.00
2024-07-19 22:59:11,0.96,153.36,1.12,1534.90,1482.00
2024-07-19 22:59:11,0.96,153.38,1.12,1533.50,1472.00
2024-07-19 22:59:11,0.96,153.35,1.12,1535.10,1482.00
2024-07-19 22:59:11,0.96,153.37,1.11,1535.00,1474.00
2024-07-19 22:59:11,0.96,153.37,1.11,1535.50,1474.00
2024-07-19 22:59:11,0.96,153.39,1.11,1536.60,1474.00
2024-07-19 22:59:12,0.96,153.35,1.12,1536.40,1482.00
2024-07-19 22:59:12,0.96,153.35,1.12,1534.10,1478.00
2024-07-19 22:59:12,0.96,153.37,1.12,1537.00,1474.00
2024-07-19 22:59:12,0.96,153.38,1.12,1537.40,1474.00
2024-07-19 22:59:12,0.96,153.40,1.12,1535.30,1482.00
2024-07-19 22:59:12,0.96,153.34,1.12,1536.40,1474.00
2024-07-19 22:59:12,0.96,153.37,1.12,1535.80,1482.00
2024-07-19 22:59:12,0.96,153.37,1.12,1535.10,1482.00
2024-07-19 22:59:12,0.96,153.66,1.12,1535.20,1474.00
2024-07-19 22:59:12,0.96,153.55,1.11,1534.90,1482.00
2024-07-19 22:59:12,0.96,153.44,1.11,1535.30,1482.00
2024-07-19 22:59:12,0.96,153.54,1.11,1534.20,1474.00
2024-07-19 22:59:12,0.96,153.54,1.11,1535.00,1474.00
2024-07-19 22:59:12,0.96,153.62,1.11,1535.50,1474.00
2024-07-19 22:59:12,0.96,153.58,1.11,1534.90,1474.00
2024-07-19 22:59:13,0.96,153.58,1.12,1533.80,1472.00
2024-07-19 22:59:13,0.96,153.53,1.11,1534.90,1468.00
2024-07-19 22:59:13,0.96,153.58,1.11,1533.90,1472.00
2024-07-19 22:59:13,0.96,153.49,1.11,1535.60,1472.00
2024-07-19 22:59:13,0.96,153.59,1.12,1535.10,1472.00
2024-07-19 22:59:13,0.96,153.55,1.12,1536.50,1478.00
2024-07-19 22:59:13,0.96,153.57,1.11,1535.10,1474.00
2024-07-19 22:59:13,0.96,153.54,1.11,1536.40,1472.00
2024-07-19 22:59:13,0.96,153.53,1.11,1535.60,1474.00
2024-07-19 22:59:13,0.96,153.52,1.11,1534.00,1468.00
2024-07-19 22:59:13,0.96,153.57,1.11,1534.90,1472.00
2024-07-19 22:59:13,0.96,153.56,1.11,1533.90,1474.00
2024-07-19 22:59:13,0.96,153.56,1.11,1534.70,1472.00
2024-07-19 22:59:13,0.96,153.52,1.11,1534.20,1472.00
2024-07-19 22:59:13,0.96,153.56,1.11,1533.80,1478.00
2024-07-19 22:59:14,0.96,153.62,1.11,1535.80,1474.00
2024-07-19 22:59:14,0.96,153.57,1.12,1535.70,1478.00
2024-07-19 22:59:14,0.96,153.47,1.12,1535.10,1474.00
2024-07-19 22:59:14,0.96,153.52,1.11,1537.50,1474.00
2024-07-19 22:59:14,0.96,153.59,1.11,1535.70,1474.00
2024-07-19 22:59:14,0.96,153.60,1.11,1536.50,1474.00
2024-07-19 22:59:14,0.96,153.58,1.11,1534.80,1474.00
2024-07-19 22:59:14,0.96,153.60,1.12,1536.10,1474.00
2024-07-19 22:59:14,0.96,153.57,1.12,1534.70,1472.00
2024-07-19 22:59:14,0.96,153.56,1.11,1534.70,1474.00
2024-07-19 22:59:14,0.96,153.51,1.11,1533.70,1472.00
2024-07-19 22:59:14,0.96,153.55,1.11,1534.00,1472.00
2024-07-19 22:59:14,0.96,153.53,1.12,1535.40,1472.00
2024-07-19 22:59:14,0.96,153.58,1.11,1535.60,1474.00
2024-07-19 22:59:14,0.96,153.38,1.11,1537.40,1474.00
2024-07-19 22:59:14,0.96,153.57,1.11,1535.40,1474.00
2024-07-19 22:59:15,0.96,153.39,1.11,1537.20,1474.00
2024-07-19 22:59:15,0.96,153.39,1.11,1535.90,1468.00
2024-07-19 22:59:15,0.96,153.38,1.12,1535.60,1474.00
2024-07-19 22:59:15,0.96,153.37,1.12,1536.10,1474.00
2024-07-19 22:59:15,0.96,153.37,1.11,1535.30,1472.00
2024-07-19 22:59:15,0.96,153.39,1.12,1535.90,1474.00
2024-07-19 22:59:15,0.96,153.38,1.11,1533.80,1478.00
2024-07-19 22:59:15,0.96,153.35,1.11,1534.90,1478.00
2024-07-19 22:59:15,0.96,153.40,1.11,1537.30,1468.00
2024-07-19 22:59:15,0.96,153.41,1.12,1536.10,1474.00
2024-07-19 22:59:15,0.96,153.57,1.11,1534.40,1472.00
2024-07-19 22:59:15,0.96,153.59,1.11,1533.10,1464.00
2024-07-19 22:59:15,0.96,153.56,1.11,1534.20,1472.00
2024-07-19 22:59:15,0.96,153.58,1.11,1534.60,1474.00
2024-07-19 22:59:15,0.96,153.56,1.11,1533.30,1472.00
2024-07-19 22:59:16,0.96,153.57,1.11,1536.10,1468.00
2024-07-19 22:59:16,0.96,153.39,1.11,1536.00,1482.00
2024-07-19 22:59:16,0.96,153.37,1.11,1537.20,1482.00
2024-07-19 22:59:16,0.96,153.40,1.11,1536.50,1474.00
2024-07-19 22:59:16,0.96,153.36,1.11,1536.50,1472.00
2024-07-19 22:59:16,0.96,153.38,1.11,1537.70,1474.00
2024-07-19 22:59:16,0.96,153.35,1.11,1535.00,1472.00
2024-07-19 22:59:16,0.96,153.40,1.11,1536.80,1474.00
2024-07-19 22:59:16,0.96,153.37,1.12,1536.30,1472.00
2024-07-19 22:59:16,0.96,153.38,1.12,1537.50,1472.00
2024-07-19 22:59:16,0.96,153.39,1.12,1536.30,1474.00
2024-07-19 22:59:16,0.96,153.41,1.11,1535.80,1474.00
2024-07-19 22:59:16,0.96,153.37,1.11,1535.30,1474.00
2024-07-19 22:59:16,0.96,153.37,1.11,1536.30,1474.00
2024-07-19 22:59:16,0.96,153.40,1.11,1536.00,1474.00
2024-07-19 22:59:17,0.96,153.38,1.11,1534.90,1474.00
2024-07-19 22:59:17,0.96,153.37,1.11,1535.40,1474.00
2024-07-19 22:59:17,0.96,153.38,1.11,1537.00,1474.00
2024-07-19 22:59:17,0.96,153.37,1.11,1536.10,1468.00
2024-07-19 22:59:17,0.96,153.39,1.11,1535.00,1468.00
2024-07-19 22:59:17,0.96,153.38,1.11,1534.40,1468.00
2024-07-19 22:59:17,0.96,153.32,1.11,1535.90,1468.00
2024-07-19 22:59:17,0.96,153.38,1.11,1534.60,1474.00
2024-07-19 22:59:17,0.96,153.40,1.11,1535.80,1474.00
2024-07-19 22:59:17,0.96,153.39,1.11,1535.20,1474.00
2024-07-19 22:59:17,0.96,153.38,1.11,1535.50,1474.00
2024-07-19 22:59:17,0.96,153.38,1.11,1535.70,1474.00
2024-07-19 22:59:17,0.96,153.38,1.11,1536.40,1474.00
2024-07-19 22:59:17,0.96,153.37,1.11,1536.30,1474.00
2024-07-19 22:59:17,0.96,153.37,1.11,1536.20,1474.00
2024-07-19 22:59:17,0.96,153.36,1.11,1536.50,1474.00
2024-07-19 22:59:18,0.96,153.37,1.12,1536.60,1468.00
2024-07-19 22:59:18,0.96,153.36,1.12,1535.00,1474.00
2024-07-19 22:59:18,0.96,153.34,1.11,1536.00,1474.00
2024-07-19 22:59:18,0.96,153.37,1.12,1534.20,1472.00
2024-07-19 22:59:18,0.96,153.39,1.11,1533.30,1472.00
2024-07-19 22:59:18,0.96,153.40,1.11,1535.90,1482.00
2024-07-19 22:59:18,0.96,153.39,1.11,1534.80,1474.00
2024-07-19 22:59:18,0.96,153.38,1.11,1534.80,1474.00
2024-07-19 22:59:18,0.96,153.38,1.11,1535.80,1474.00
2024-07-19 22:59:18,0.96,153.40,1.12,1536.60,1474.00
2024-07-19 22:59:18,0.96,153.37,1.11,1536.70,1474.00
2024-07-19 22:59:18,0.96,153.40,1.11,1536.70,1474.00
2024-07-19 22:59:18,0.96,153.42,1.11,1536.30,1468.00
2024-07-19 22:59:18,0.96,153.36,1.12,1536.40,1474.00
2024-07-19 22:59:18,0.96,153.36,1.12,1534.80,1474.00
2024-07-19 22:59:19,0.97,153.35,1.12,1537.00,1474.00
2024-07-19 22:59:19,0.96,153.37,1.11,1537.20,1474.00
2024-07-19 22:59:19,0.96,153.37,1.12,1534.20,1472.00
2024-07-19 22:59:19,0.96,153.35,1.12,1535.10,1474.00
2024-07-19 22:59:19,0.96,153.35,1.11,1536.70,1474.00
2024-07-19 22:59:19,0.96,153.60,1.12,1536.40,1474.00
2024-07-19 22:59:19,0.96,153.57,1.11,1535.40,1474.00
2024-07-19 22:59:19,0.96,153.62,1.11,1536.60,1474.00
2024-07-19 22:59:19,0.96,153.63,1.11,1536.50,1474.00
2024-07-19 22:59:19,0.96,153.70,1.12,1535.90,1474.00
2024-07-19 22:59:19,0.96,153.53,1.11,1537.30,1474.00
2024-07-19 22:59:19,0.96,153.59,1.11,1537.30,1474.00
2024-07-19 22:59:19,0.96,153.67,1.11,1535.30,1474.00
2024-07-19 22:59:19,0.96,153.67,1.11,1536.10,1474.00
2024-07-19 22:59:19,0.96,153.57,1.11,1536.90,1474.00
2024-07-19 22:59:20,0.96,153.39,1.11,1533.90,1472.00
2024-07-19 22:59:20,0.96,153.36,1.11,1533.90,1472.00
2024-07-19 22:59:20,0.96,153.61,1.11,1535.50,1474.00
2024-07-19 22:59:20,0.96,153.61,1.11,1536.00,1468.00
2024-07-19 22:59:20,0.96,153.61,1.11,1533.70,1464.00
2024-07-19 22:59:20,0.96,153.65,1.11,1534.80,1474.00
2024-07-19 22:59:20,0.96,153.63,1.11,1535.50,1474.00
2024-07-19 22:59:20,0.96,153.58,1.11,1535.20,1468.00
2024-07-19 22:59:20,0.96,153.67,1.11,1536.20,1474.00
2024-07-19 22:59:20,0.96,153.60,1.12,1536.00,1474.00
2024-07-19 22:59:20,0.96,153.63,1.11,1537.00,1474.00
2024-07-19 22:59:20,0.96,153.61,1.11,1533.40,1474.00
2024-07-19 22:59:20,0.96,153.59,1.11,1534.00,1474.00
2024-07-19 22:59:20,0.96,153.55,1.12,1534.50,1472.00
2024-07-19 22:59:20,0.96,153.47,1.11,1533.30,1472.00
2024-07-19 22:59:20,0.96,153.53,1.11,1534.00,1482.00
2024-07-19 22:59:21,0.96,153.59,1.12,1533.60,1472.00
2024-07-19 22:59:21,0.96,153.53,1.11,1534.30,1478.00
2024-07-19 22:59:21,0.96,153.52,1.12,1535.80,1474.00
2024-07-19 22:59:21,0.96,153.52,1.11,1534.90,1482.00
2024-07-19 22:59:21,0.96,153.53,1.12,1536.30,1478.00
